domain,category,confirmed,evidence,login_url,final_url
app.fabulate.co,jwt,yes,response_type=id_token,https://app.fabulate.co/signin,
app.hibob.com,code,,response_type=code,https://app.hibob.com/login/,
app.rightcharge.co.uk,code,,response_type=code,https://app.rightcharge.co.uk/login,
app.serifhealth.com,none,,,https://app.serifhealth.com/sign-in,
app.speculo.ai,code,,response_type=code,https://app.speculo.ai/login,
app.zeely.ai,code,,response_type=code,https://app.zeely.ai/login,
arist.com,none,,,https://arist.com/,
atomic.supply,none,,,https://www.atomic.supply/,
auth-app.waresix.com,token,yes,response_type=token,https://auth-app.waresix.com/,
auth.greptile.com,code,,response_type=code,https://auth.greptile.com/login,
auth.mf-tech.ai,google_unknown,,ERR:Page.goto: net::ERR_HTTP_RESPO,https://auth.mf-tech.ai/login,
auth.quartr.com,none,,,https://auth.quartr.com/realms/prod/protocol/openid-connect/auth,
auth.rapidflare.ai,code,,response_type=code,https://auth.rapidflare.ai/,
cantina-prod.us.auth0.com,code,,response_type=code,https://cantina-prod.us.auth0.com/u/login/identifier,
cantina.security,none,,,https://www.cantina.security/,
clipto.com,none,,,https://www.clipto.com/,
company.eholo.health,code,,response_type=code,https://company.eholo.health/en/login,
dainty-key-01.authkit.app,code,,response_type=code,https://dainty-key-01.authkit.app/,
dashboard.pexcard.com,jwt,yes,response_type=id_token,https://dashboard.pexcard.com/login,
fabulate.com.au,none,,,https://fabulate.com.au/,
foorban.business,code,,response_type=code,https://foorban.business/login,
gocharting.com,none,,,https://gocharting.com/sign-in,
guard.io,token,yes,initTokenClient,https://guard.io/login,
healf.com,code,,response_type=code,https://healf.com/login,
hyper3d.ai,code,,response_type=code,https://hyper3d.ai/workspace/login,
learn.adclin.org,code,,response_type=code,https://learn.adclin.org/users/sign_in,
link.me,code,,response_type=code,https://link.me/login,
lnrd.eulerity.com,code,,response_type=code,https://lnrd.eulerity.com/,
login.geckorobotics.com,none,,,https://login.geckorobotics.com/login,
lovb.com,code,,response_type=code,https://www.lovb.com/auth/login,
modernvillagelifestyle.vn,none,,,https://modernvillagelifestyle.vn/vi/,
my.aheadhealth.com,code,,response_type=code,https://my.aheadhealth.com/en/sign_in,
my.atomic.supply,code,,response_type=code,https://my.atomic.supply/,
my.wallit.app,code,,response_type=code,https://my.wallit.app/SignIn,
omio.com,code,,initCodeClient,https://www.omio.com/,
pangram.com,jwt,yes,gis_id:accounts.google.com/gsi/bu,https://www.pangram.com/login,
platform.helios.sc,code,,response_type=code,https://platform.helios.sc/login,
portal.contactter.ai,code,,response_type=code,https://portal.contactter.ai/auth/login,
portal.luxesupply.co,code,,response_type=code,https://portal.luxesupply.co/wholesale/sign-in,
portal.tarabut.com,none,,,https://portal.tarabut.com/sign-up,
profile.kaixr.com,google_unknown,,gsi_only,https://profile.kaixr.com/login,
pulse.kickup.co,code,,response_type=code,https://pulse.kickup.co/accounts/login/,
regatta.dev,code,,response_type=code,https://regatta.dev/get-started,
rightcharge.com,none,,,https://rightcharge.com/,
rogo-data-prod.us.auth0.com,none,,,https://rogo-data-prod.us.auth0.com/u/login/identifier,
rogo.com,none,,,https://rogo.com/,
secure.storehubhq.com,code,,response_type=code,https://secure.storehubhq.com/login,
sso.pvxpartners.com,none,,,https://sso.pvxpartners.com/realms/pvxpartners/protocol/openid-connect/auth,
support.emergentsoftware.net,none,,,https://support.emergentsoftware.net/login,
wagmo.io,google_unknown,,gsi_only,https://wagmo.io/,
web.bia.app,code,,response_type=code,https://web.bia.app/,
wildzebra.com,none,,,https://wildzebra.com/,
