domain,category,confirmed,evidence,login_url,final_url
admin.carson.live,jwt,yes,response_type=id_token,https://admin.carson.live/login,
app.aniline.io,google_unknown,,gsi_only,https://app.aniline.io/,
app.gopassage.com,code,,response_type=code,https://app.gopassage.com/users/sign_in,
app.prod.fooji.com,jwt,yes,response_type=id_token,https://app.prod.fooji.com/,
asia-2-account.cogover.com,none,,,https://asia-2-account.cogover.com/register,
auth.wellnesscoach.live,code,,initCodeClient,https://auth.wellnesscoach.live/auth,
dashboard.algodriven.co,google_unknown,,gsi_only,https://dashboard.algodriven.co/sign-in,
dashboard.foreman.mn,code,,response_type=code,https://dashboard.foreman.mn/login/,
go.beyondtrucks.com,none,,,https://go.beyondtrucks.com/login,
member.dogdrop.co,none,,,https://member.dogdrop.co/users/sign_up,
my.megarender.com,none,,,https://my.megarender.com/auth/sign-up,
phyla.com,none,,,https://phyla.com/en-ca,
platform.evvnt.com,code,,response_type=code,https://platform.evvnt.com/sign_up,
platformeleven.io,code,,response_type=code,https://platformeleven.io/hortonpoint,
promallu.com,none,,,https://promallu.com/register,
resonate.linqia.com,code,,initCodeClient,https://resonate.linqia.com/#/signup,
simplywall.st,token,yes,initTokenClient,https://simplywall.st/welcome,
socialmuse.co,none,,,https://socialmuse.co/login,
superuser.app,jwt,yes,response_type=id_token,https://superuser.app/login,
thryve.kr,code,,response_type=code,https://thryve.kr/login,
tnuck.com,jwt,yes,gis_id:accounts.id.initialize,https://tnuck.com/,
trendlyne.com,jwt,yes,gis_id:accounts.id.initialize,https://trendlyne.com/,
www.blynk.io,none,,,https://www.blynk.io/,
www.crusoe.ai,none,,,https://www.crusoe.ai/,
www.flowmusic.app,none,,,https://www.flowmusic.app/session,
www.homes.com,none,,,https://www.homes.com/,
www.implicit.cloud,none,,,https://www.implicit.cloud/,
www.qoyod.com,none,,,https://www.qoyod.com/en/signup/,
www.rugser.com,token,yes,initTokenClient,https://www.rugser.com/register,
www.sheba.xyz,google_unknown,,gsi_only,https://www.sheba.xyz/,
www.sponsoo.com,none,,,https://www.sponsoo.com/,
