domain,category,confirmed,evidence,login_url,final_url
10percenthappier.com,none,,,https://10percenthappier.com/login,https://www.meditatehappier.com/login
23andme.com,none,,,https://you.23andme.com/,https://auth.23andme.com/login/?next=https%3A//auth.23andme.com/authorize/%3Fredirect_uri%3Dhttps%253A%252F%252Fyou.23andme.com%252Fauth_callback%252F%26response_type%3Dcode%26client_id%3Dyou%26scope%3Dopenid%2Bancestry%2Bbasic%2Bhaplogroups%2Bnames%2Bphenotypes%253Aread%253Aall%2Bprofile_id%253Aall%2Buse_authdot_token%26state%3D%257B%2522origin_uri%2522%253A%2B%2522%252F%2522%257D
3ds.com,none,,,https://eu1.iam.3dexperience.3ds.com/login?service=https%3A%2F%2Fwww.3ds.com%2F,https://eu1.iam.3dexperience.3ds.com/login?service=https%3A%2F%2Fwww.3ds.com%2F
8fit.com,none,,,https://8fit.com/login,https://8fit.com/login/
ably.com,none,,,https://ably.com/login,https://ably.com/login
acceptto.com,none,,,https://connect.secureauth.com/,https://connect.secureauth.com/
acronis.com,none,,,https://account.acronis.com/,https://account.acronis.com/#/auth/login
adquesto.com,none,,,,
adwallet.com,none,,,https://adwallet.com/login,https://forsale.godaddy.com/forsale/adwallet.com?utm_source=TDFS_BINNS2&utm_medium=parkedpages&utm_campaign=x_corp_tdfs-binns2_base&traffic_type=TDFS_BINNS2&traffic_id=binns2&
aethergames.io,none,,,https://aethergames.io/login,https://aethergames.io/login
aiand.com,none,,,,
01caijing.com,none,,,https://01caijing.com/login,https://01caijing.com/login
20degs.com,none,,,https://20degs.com/login,https://20degs.com/wp-login.php
3commas.io,none,,,https://3commas.io/login,https://app.3commas.io/auth/login
7signal.com,none,,,https://7signal.com/login,https://7signal.com/login
abhibus.com,none,,,https://abhibus.com/login,https://www.abhibus.com/login
acast.com,none,,,https://acast.com/login,https://www.acast.com/en/login
acorns.com,none,,,https://app.acorns.com/,https://oak.acorns.com/sign-in
adfin.com,microsoft,,btn:Continue with Microsoft oauth2,https://console.adfin.com,https://console.adfin.com/auth/login?returnTo=%2Foverview
advizeo.io,none,,,https://advizeo.io/login,https://www.advizeo.io/login
aerologix.com,none,,,https://aerologix.com/login,https://aerologix.com/.well-known/sgcaptcha/?r=%2Flogin&y=ipc:146.148.42.91:1781841731.292
agora.io,none,,,https://sso.agora.io/en/signup/,https://sso2.agora.io/en/signup
airalo.com,none,,,,
1v1me.com,none,,,https://1v1me.com/login,https://www.1v1me.com/login
3billion.io,none,,,https://3billion.io/login,https://3billion.io/login
701x.com,none,,,https://login.701x.com/Account/Login?ReturnUrl=https%3A%2F%2Fmobile.701x.com%2F%23%2Fsilentsignin-oidc,https://login.701x.com/Account/Login?ReturnUrl=https%3A%2F%2Fmobile.701x.com%2F%23%2Fsilentsignin-oidc
abatable.com,none,,,https://app.abatable.com/intelligence?utm_campaign=sign_in,https://login.abatable.com/u/login?state=hKFo2SBvNDZyWHVMU2hQWkdKVS13Rlp6OG9iMGdkQ2VQbXVYZaFur3VuaXZlcnNhbC1sb2dpbqN0aWTZIERFT2RRQ2VrN2dDclJhd1pqS3NHNVdJMmJJc1J2ZUhFo2NpZNkgNHRZV1hBOVBuMVdGZEtHQXRTb0tUOWZzVnd5dXB4TW4
