domain,flow,confirmed,evidence,login_url,final_url
01caijing.com,none,,,https://01caijing.com/login,https://01caijing.com/login
100ms.live,none,,,https://100ms.live/login,https://www.100ms.live/login
10adventures.com,none,,,https://10adventures.com/login,https://www.10adventures.com/login
10percenthappier.com,none,,,https://10percenthappier.com/login,https://www.meditatehappier.com/login
10web.io,jwt,yes,response_type=id_token,https://my.10web.io/login,https://my.10web.io/login
11sight.com,none,,,https://app.11sight.com/user/sign_in,https://app.11sight.com/user/sign_in
11thestate.com,none,,,https://11thestate.com/login,https://11th.com/login
123sonography.com,none,,,https://123sonography.com/login,https://123sonography.com/login
12traits.com,none,,,https://app.solsten.io/sign-in,https://elaris.new/sign-in
1680.co,none,,ERR:dns,,
17hats.com,none,,,https://17hats.com/login,https://17hats.com/loginredirect
1928diagnostics.com,none,,,https://1928diagnostics.com/login,https://www.1928diagnostics.com/login
1dropdx.com,none,,,https://www.1dropdx.com/my-account,https://www.1dropdx.com/my-account/
1health.io,none,,,https://1health.io/login,https://app.1health.io/login
1up.ai,code,,response_type=code,https://app.1up.ai,https://app.1up.ai/login
1v1me.com,none,,,https://1v1me.com/login,https://www.1v1me.com/login
20degs.com,none,,,https://20degs.com/login,https://20degs.com/wp-login.php
21stcenturyfood.com,none,,,https://21stcenturyfood.com/login,https://www.21stcenturyfood.com/login/
228labs.com,none,,,https://228labs.com/login,https://228labs.com/login
23andme.com,google_unknown,,gsi_only,https://you.23andme.com/,https://auth.23andme.com/login/?next=https%3A//auth.23andme.com/authorize/%3Fredirect_uri%3Dhttps%253A%252F%252Fyou.23andme.com%252Fauth_callback%252F%26response_type%3Dcode%26client_id%3Dyou%26scope%3Dopenid%2Bancestry%2Bbasic%2Bhaplogroups%2Bnames%2Bphenotypes%253Aread%253Aall%2Bprofile_id%253Aall%2Buse_authdot_token%26state%3D%257B%2522origin_uri%2522%253A%2B%2522%252F%2522%257D
2degrees.nz,none,,,https://2degrees.nz/login,https://www.2degrees.nz/node/9356
2houses.com,none,,,https://2houses.com/login,https://www.2houses.com/en/404
