domain,flow,confirmed,evidence,login_url,final_url
app.8arm.io,code,,response_type=code,https://app.8arm.io/login,
app.omie.com.br,code,,response_type=code,https://app.omie.com.br/login/,
app.onfly.com,code,,response_type=code,https://app.onfly.com/login,
app.vambeai.com,none,,,https://app.vambeai.com/login,
apps.jelou.ai,token,yes,initTokenClient,https://apps.jelou.ai/signup,
auth.houm.com,code,,response_type=code,https://auth.houm.com/login,
auth.qive.com.br,none,,,https://auth.qive.com.br/auth/realms/saas/protocol/openid-connect/auth,
auth.traive-prod.com,none,,,https://auth.traive-prod.com/realms/traive-prod/protocol/openid-connect/auth,
clients.gobetterfly.com,code,,response_type=code,https://clients.gobetterfly.com/login,
dashboard.azos.com.br,code,,response_type=code,https://dashboard.azos.com.br/login,
exato.digital,jwt,yes,gis_id:accounts.id.renderButton,https://exato.digital/,
id.morada.ai,code,,response_type=code,https://id.morada.ai/login,
id.y.uno,code,,response_type=code,https://id.y.uno/,
laika.com.co,token,yes,response_type=token,https://laika.com.co/login,
livup.com.br,token,yes,initTokenClient,https://www.livup.com.br/identification,
login.superlogica.net,code,,response_type=code,https://login.superlogica.net/u/login/identifier,
login.treinta.co,code,,response_type=code,https://login.treinta.co/ingresar,
madeiramadeira.com.br,none,,,https://www.madeiramadeira.com.br/verificar,
nuvemshop.com.br,code,,response_type=code,https://www.nuvemshop.com.br/login,
plataforma.logcomex.io,code,,response_type=code,https://plataforma.logcomex.io/signIn/,
pluggy.ai,none,,,https://www.pluggy.ai/,
scribe.telepatia.ai,google_unknown,,gsi_only,https://scribe.telepatia.ai/sign-in,
tako.ai,none,,,https://tako.ai/en/,
teachy.com.br,code,,response_type=code,https://www.teachy.com.br/en/auth/login,
traive.com.br,none,,,https://traive.com.br/,
