domain,category,confirmed,evidence,login_url,final_url
account.chelseafc.com,none,,,https://account.chelseafc.com/oauth2/authorize,
account.uipath.com,code,,response_type=code,https://account.uipath.com/login,
accounts.stockx.com,none,,,https://accounts.stockx.com/u/login/identifier,
accounts.zalando.com,none,,,https://accounts.zalando.com/authenticate,
app.chargebee.com,jwt,yes,response_type=id_token,https://app.chargebee.com/login,
app.gong.io,code,,response_type=code,https://app.gong.io/welcome/sign-in,
app.qonto.com,code,,response_type=code,https://app.qonto.com/signin,
app.socialflow.com,none,,,https://app.socialflow.com/signin,
auth.cirquedusoleil.com,none,,,https://auth.cirquedusoleil.com/auth.cirquedusoleil.com/b2c_1a_signup_or_signin_migration_seamless_no_optin/oauth2/v2.0/authorize,
auth.headspace.com,none,,,https://auth.headspace.com/u/login/identifier,
auth.iterable.com,none,,,https://auth.iterable.com/u/login/identifier,
auth.motorway.co.uk,none,,,https://auth.motorway.co.uk/seller/,
auth.noom.com,code,,response_type=code,https://auth.noom.com/login/userportal,
auth.podium.com,jwt,yes,gis_id:accounts.id.initialize,https://auth.podium.com/,
auth.roofstock.com,code,,response_type=code,https://auth.roofstock.com/u/login,
auth.tidbcloud.com,code,,response_type=code,https://auth.tidbcloud.com/login,
auth0.nscale.com,none,,,https://auth0.nscale.com/u/login,
caliceo.com,google_unknown,,gsi_only,https://caliceo.com/,
careers.spiritaero.com,none,,,https://careers.spiritaero.com/,
cockroachlabs.cloud,code,,response_type=code,https://cockroachlabs.cloud/,
console.verda.com,none,,,https://console.verda.com/signin,
dashboard.algolia.com,code,,response_type=code,https://dashboard.algolia.com/users/sign_in,
dashboard.delight.ai,jwt,yes,response_type=id_token,https://dashboard.delight.ai/auth/signin,
dashboard.getalma.eu,none,,,https://dashboard.getalma.eu/login,
eg.swarovski.com.kw,code,,response_type=code,https://eg.swarovski.com.kw/on/demandware.store/Sites-Swarovski_EG-Site/en_EG/Login-Show,
engine.groove.clari.com,none,,,https://engine.groove.clari.com/,
feverup.com,token,yes,response_type=token,https://feverup.com/login,
fundrise.com,code,,response_type=code,https://fundrise.com/login,
home.color.com,token,yes,initTokenClient,https://home.color.com/sign-in,
id.livgolf.com,none,,,https://id.livgolf.com/,
identity.acmilan.com,none,,,https://identity.acmilan.com/identity/s/login/,
identity.getpostman.com,code,,response_type=code,https://identity.getpostman.com/login,
ironcladapp.com,jwt,yes,response_type=id_token,https://ironcladapp.com/signin,
log.wien,none,,,https://log.wien/auth/realms/logwien/protocol/openid-connect/auth,
login.confluent.io,none,,,https://login.confluent.io/login,
login.datarobot.com,none,,,https://login.datarobot.com/login,
login.flexport.com,none,,,https://login.flexport.com/u/login/identifier,
login.hingehealth.com,none,,,https://login.hingehealth.com/u/login/identifier,
