domain,flow,confirmed,evidence,login_url,final_url
accesshub.theaccessproject.org.uk,none,,,https://accesshub.theaccessproject.org.uk/login/index.php,
account.directferries.com,none,,,https://account.directferries.com/signin,
account.gratavid.com,code,,response_type=code,https://account.gratavid.com/a/auth,
adeus.app,code,,response_type=code,https://www.adeus.app/auth/login,
admarket.co,code,,response_type=code,https://admarket.co/en/login,
agent.askethos.com,none,,,https://agent.askethos.com/,
alice.si,jwt,yes,gis_id:accounts.id.initialize,https://alice.si/app/,
allsaints.com,none,,,https://www.allsaints.com/login/,
app.gizmo.ai,code,,response_type=code,https://app.gizmo.ai/sign-in,
app.jackandjill.ai,google_unknown,,gsi_only,https://app.jackandjill.ai/sign-in,
app.libra.law,code,,response_type=code,https://app.libra.law/login,
app.morphoses.io,token,yes,initTokenClient,https://app.morphoses.io/en/register/login,
app.openfn.org,none,,,https://app.openfn.org/users/log_in,
app.shodeck.com,jwt,yes,response_type=id_token,https://app.shodeck.com/,
artstation.com,google_unknown,,gsi_only,https://www.artstation.com/hazimation,
askethos.us.auth0.com,none,,,https://askethos.us.auth0.com/u/login,
auth-us.gatekeeperhq.com,code,,response_type=code,https://auth-us.gatekeeperhq.com/,
auth.anyvan.com,none,,,https://auth.anyvan.com/oauth2/authorize,
auth.askdragonfly.com,code,,response_type=code,https://auth.askdragonfly.com/en/login,
auth.dogstrust.org.uk,none,,,https://auth.dogstrust.org.uk/auth.dogstrust.org.uk/B2C_1A_SIGNUP_SIGNIN_LINK/oauth2/v2.0/authorize,
auth.doubleword.ai,code,,response_type=code,https://auth.doubleword.ai/u/login,
auth.kohort.io,none,,,https://auth.kohort.io/u/login/identifier,
auth.phrasee.co,none,,,https://auth.phrasee.co/login,
auth.prolific.com,code,,response_type=code,https://auth.prolific.com/u/login,
auth.reactwise.com,google_unknown,,ERR:Page.goto: net::ERR_SSL_VERSIO,https://auth.reactwise.com/u/login,
auth.recap.io,none,,,https://auth.recap.io/u/login/identifier,
auth.reedsy.com,none,,,https://auth.reedsy.com/sign_in/,
auth.zincwork.com,none,,,https://auth.zincwork.com/u/login/identifier,
auth0.zappi.io,none,,,https://auth0.zappi.io/u/login/identifier,
brandalley.co.uk,none,,,https://www.brandalley.co.uk/,
cloud.trigger.dev,code,,response_type=code,https://cloud.trigger.dev/login,
connection.keboola.com,none,,,https://connection.keboola.com/admin/auth/login,
converter.objectverse.io,code,,response_type=code,https://converter.objectverse.io/login,
crawljobs.com,code,,response_type=code,https://www.crawljobs.com/account/signin,
dash.algomo.com,code,,response_type=code,https://dash.algomo.com/sign-in,
dash.beyondwords.io,jwt,yes,response_type=id_token,https://dash.beyondwords.io/auth/login,
dazn.com,token,yes,initTokenClient,https://www.dazn.com/en-EG/account/content/DAZN/signup,
distinction.app,code,,response_type=code,https://distinction.app/login,
eedi.com,none,,,https://www.eedi.com/,
fanvue.com,code,,response_type=code,https://www.fanvue.com/signin,
getpurpledot.com,none,,,https://www.getpurpledot.com/,
greenvi.ai,code,,response_type=code,https://www.greenvi.ai/login,
historypin.org,code,,response_type=code,https://historypin.org/accounts/login/,
horizon.options-it.com,jwt,yes,response_type=id_token,https://horizon.options-it.com/,
iam.prosapient.com,none,,,https://iam.prosapient.com/login,
identity.marketplacehub.com,code,,response_type=code,https://identity.marketplacehub.com/Account/Login,
independent.co.uk,code,,response_type=code,https://www.independent.co.uk/login,
isobar-compression.com,google_unknown,,ERR:Page.goto: net::ERR_TIMED_OUT ,https://isobar-compression.com/auth/login,
jacquard.com,none,,,https://www.jacquard.com/,
legalutopia.co.uk,none,,,https://www.legalutopia.co.uk/login,
login.app.kohort.io,code,,response_type=code,https://login.app.kohort.io/u/login,
login.globalapptesting.com,none,,,https://login.globalapptesting.com/login,
login.us1.geordie.ai,none,,,https://login.us1.geordie.ai/u/login/identifier,
merlin.electrictwin.com,code,,response_type=code,https://merlin.electrictwin.com/auth/signin,
my.raspberrypi.org,none,,,https://my.raspberrypi.org/v1/login,
nextquestion.io,none,,,https://nextquestion.io/login,
outpost.ai,none,,,https://outpost.ai/,
private.currencybird.cl,jwt,yes,response_type=id_token,https://private.currencybird.cl/login,
purple-dot.auth0.com,none,,,https://purple-dot.auth0.com/u/login/identifier,
respondent.survey54.com,jwt,yes,response_type=id_token,https://respondent.survey54.com/sign-in,
school.eedi.com,jwt,yes,response_type=id_token,https://school.eedi.com/login,
signin.auth.plain.com,code,,response_type=code,https://signin.auth.plain.com/,
signin.bluedothq.com,code,,response_type=code,https://signin.bluedothq.com/,
spacenk.com,none,,,https://www.spacenk.com/uk/home,
sso.argc.co.uk,google_unknown,,gsi_only,https://sso.argc.co.uk/,
thethinkingtraveller.com,none,,,https://www.thethinkingtraveller.com/account,
tldraw.com,google_unknown,,gsi_only,https://www.tldraw.com/,
tracxn.com,code,,response_type=code,https://tracxn.com/login,
waves-crm.influencer.com,code,,response_type=code,https://waves-crm.influencer.com/auth/login,
yourpower.com,code,,response_type=code,https://yourpower.com/login,
