domain,flow,confirmed,evidence,login_url,final_url
1000farmacie.it,none,,,https://www.1000farmacie.it/,
accedi.facile.it,google_unknown,,ERR:Page.goto: net::ERR_HTTP2_PROT,https://accedi.facile.it/u/login/identifier,
account.qapla.it,jwt,yes,response_type=id_token,https://account.qapla.it/login,
accounts.conveo.ai,none,,,https://accounts.conveo.ai/sign-in,
accounts.vivapayments.com,code,,response_type=code,https://accounts.vivapayments.com/Account/Login,
app.bonusx.it,code,,response_type=code,https://app.bonusx.it/welcome,
app.delta.blue,code,,response_type=code,https://app.delta.blue/#/login,
app.lexroom.ai,code,,response_type=code,https://app.lexroom.ai/auth/sign-in,
app.serenis.it,none,,,https://app.serenis.it/login,
app.trendtracker.ai,none,,,https://app.trendtracker.ai/public/login,
app.unguess.io,none,,,https://app.unguess.io/join/signup,
auth.app.timefold.ai,none,,,https://auth.app.timefold.ai/u/signup,
auth.dolby.io,none,,,https://auth.dolby.io/realms/Dolby.io/protocol/openid-connect/auth,
auth.kpler.com,none,,,https://auth.kpler.com/u/login/identifier,
beemaps.com,code,,response_type=code,https://beemaps.com/login,
brikl-platform-prd.us.auth0.com,none,,,https://brikl-platform-prd.us.auth0.com/u/login,
cohabs.com,google_unknown,,gsi_only,https://cohabs.com/,
cortilia.it,none,,,https://www.cortilia.it/,
dashboard.commercelayer.io,code,,response_type=code,https://dashboard.commercelayer.io/sign_in,
id.codemotion.com,jwt,yes,response_type=id_token,https://id.codemotion.com/,
identity.hudl.com,none,,,https://identity.hudl.com/u/login/identifier,
jobs.datapizza.tech,code,,response_type=code,https://jobs.datapizza.tech/auth,
login.deliverect.com,none,,,https://login.deliverect.com/u/login,
make.contents.ai,code,,response_type=code,https://make.contents.ai/login,
manebi.com,none,,,https://manebi.com/account/login,
merchant.qomodo.me,code,,response_type=code,https://merchant.qomodo.me/it/login,
mintlayer.org,google_unknown,,gsi_only,https://www.mintlayer.org/en/,
my.checksig.ch,google_unknown,,ERR:Page.goto: net::ERR_SSL_VERSIO,https://my.checksig.ch/login,
osteocom.me,jwt,yes,response_type=id_token,https://www.osteocom.me/en/login,
ovs.it,none,,,https://www.ovs.it/it/it/,
pharmercure.com,token,yes,initTokenClient,https://www.pharmercure.com/,
sso.jethr.com,none,,,https://sso.jethr.com/,
student.develhope.co,code,,response_type=code,https://student.develhope.co/login,
treatwell.es,google_unknown,,gsi_only,https://www.treatwell.es/accion-protegida/,
trustup.be,code,,response_type=code,https://www.trustup.be/en/login,
uk.chili.com,none,,,https://uk.chili.com/login,
ventis.com,jwt,yes,response_type=id_token,https://www.ventis.com/user/manage/,
web.accountable.eu,jwt,yes,response_type=id_token,https://web.accountable.eu/login,
weroad.com,code,,initCodeClient,https://www.weroad.com/,
wikicasa.it,jwt,yes,gis_id:accounts.id.initialize,https://www.wikicasa.it/,
