domain,flow,confirmed,evidence,login_url,final_url
academia.edu,none,,,https://www.academia.edu/,
accounts.allthings.me,none,,,https://accounts.allthings.me/login,
app.agendrix.com,none,,,https://app.agendrix.com/en/sign-in,
app.airtm.com,jwt,yes,response_type=id_token,https://app.airtm.com/login,
app.bitgo.com,none,,,https://app.bitgo.com/web/auth/login,
app.courier.com,code,,response_type=code,https://app.courier.com/login,
app.deskbird.com,code,,response_type=code,https://app.deskbird.com/sign-in/landing,
app.eu1.nuvolos.cloud,code,,response_type=code,https://app.eu1.nuvolos.cloud/login,
app.molecule.xyz,code,,response_type=code,https://app.molecule.xyz/login,
app.nbx.com,jwt,yes,response_type=id_token,https://app.nbx.com/login/,
app.omnilex.ai,code,,response_type=code,https://app.omnilex.ai/en/login?mode=signup,
app.santiment.net,none,,,https://app.santiment.net/sign-up,
app.sayanchor.com,jwt,yes,response_type=id_token,https://app.sayanchor.com/home,
app.snyk.io,code,,response_type=code,https://app.snyk.io/login,
app.sprig.com,jwt,yes,response_type=id_token,https://app.sprig.com/login,
app.wistia.com,code,,response_type=code,https://app.wistia.com/session/new,
auth.rapidata.ai,none,,,https://auth.rapidata.ai/Identity/Account/Login,
bitrefill.com,token,yes,initTokenClient,https://www.bitrefill.com/login,
console2.instaclustr.com,code,,response_type=code,https://console2.instaclustr.com/login,
favro.com,code,,response_type=code,https://favro.com/l/login,
grain.com,code,,response_type=code,https://grain.com/login,
hivecompute-prod.eu.auth0.com,none,,,https://hivecompute-prod.eu.auth0.com/u/login,
letyshops.com,code,,response_type=code,https://letyshops.com/us,
login.splitit.com,none,,,https://login.splitit.com/,
lsauth.eu.lansweeper.com,none,,,https://lsauth.eu.lansweeper.com/,
mybacs.com,none,,,https://mybacs.com/#rivo,
nuvolos.com,none,,,https://nuvolos.com/,
oauth.blockpass.org,token,yes,response_type=token,https://oauth.blockpass.org/,
optiml.eu.auth0.com,none,,,https://optiml.eu.auth0.com/u/login/identifier,
orangex.com,jwt,yes,gis_id:accounts.id.initialize,https://www.orangex.com/login,
platform.jua.ai,code,,response_type=code,https://platform.jua.ai/login,
quotes.carwow.co.uk,code,,response_type=code,https://quotes.carwow.co.uk/users/sign_in,
skillsvalley.io,code,,response_type=code,https://skillsvalley.io/en/auth/signup,
studio.auth.lightly.ai,code,,response_type=code,https://studio.auth.lightly.ai/,
swimply.com,none,,,https://swimply.com/,
testmuai.com,none,,,https://www.testmuai.com/login/,
tipranks.com,jwt,yes,gis_id:g_id_onload,https://www.tipranks.com/screener/technical-analysis,
vibe.co,none,,,https://www.vibe.co/sign-in,
viso.ai,none,,,https://viso.ai/,
